record_key,control_id,sub_gate,case_id,lane,device,dtype,model_seed,construction_seed,layer_index,sweep_index,contract_id,implementation_schema_id,source_git_commit,source_git_branch,experiment_image,image_revision,torch2pc_commit,channel_norms,activity_a,resultant_r,q_value,pairwise_p,negative_interference_n,cancellation_d,chi,pairwise_cosines,observed_class,absolute_l2,relative_l2,max_abs,cosine,norm_ratio,reference_norm,candidate_norm,finite,zero_safe_path,comparison_passed,threshold_profile,expected_class,passed,contract_digest,construction_registry_digest,threshold_registry_digest,torch_version,torch_hip_version,device_name,cpu_thread_count,visible_rocm_devices,deterministic_algorithms_enabled,dataset_loader_used,test_split_access,canonical_metrics,refined_metrics,canonical_channel_id,technical_part_count,negative_control_comparison_passed,negative_control_finite,negative_control_cosine
GEO-C0:GEO-01-exact-ncz:rocm:c-0:m-none:l-none:s-none,MECH-C0,GEO-C0,GEO-01-exact-ncz,rocm,gpu,torch.float32,,0,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,"[0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,,,[null],NCZ,0.0,,0.0,,,0.0,0.0,True,True,True,analytic_vector,NCZ,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,AMD Radeon RX 7700 XT,4,0,True,False,False,,,,,,,
GEO-C0:GEO-02-two-channel-exact-ecz:rocm:c-0:m-none:l-none:s-none,MECH-C0,GEO-C0,GEO-02-two-channel-exact-ecz,rocm,gpu,torch.float32,,0,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,"[0.25, 0.25]",0.5,0.0,0.125,-0.0625,0.125,1.0,0.0,[-1.0],ECZ,0.0,,0.0,,,0.0,0.0,True,True,True,analytic_vector,ECZ,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,AMD Radeon RX 7700 XT,4,0,True,False,False,,,,,,,
GEO-C0:GEO-03-two-channel-near-ecz:rocm:c-0:m-none:l-none:s-none,MECH-C0,GEO-C0,GEO-03-two-channel-near-ecz,rocm,gpu,torch.float32,,0,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,"[0.25, 0.24975000321865082]",0.4997500032186508,0.00024999678134918213,0.1248750641077161,-0.062437500804662704,0.12487500160932541,0.9999994995126439,0.0005002436813188042,[-1.0],near_ecz_control,0.0,0.0,0.0,1.0,1.0,0.00024999678134918213,0.00024999678134918213,True,False,True,analytic_vector,near_ecz_control,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,AMD Radeon RX 7700 XT,4,0,True,False,False,,,,,,,
GEO-C0:GEO-04-aligned:rocm:c-0:m-none:l-none:s-none,MECH-C0,GEO-C0,GEO-04-aligned,rocm,gpu,torch.float32,,0,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,"[0.25, 0.5]",0.75,0.75,0.3125,0.125,0.0,0.0,1.0,[1.0],active_non_ecz,0.0,0.0,0.0,1.0,1.0,0.75,0.75,True,False,True,analytic_vector,active_non_ecz,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,AMD Radeon RX 7700 XT,4,0,True,False,False,,,,,,,
GEO-C0:GEO-05-orthogonal:rocm:c-0:m-none:l-none:s-none,MECH-C0,GEO-C0,GEO-05-orthogonal,rocm,gpu,torch.float32,,0,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,"[0.25, 0.25]",0.5,0.3535533845424652,0.125,0.0,0.0,0.0,0.7071067690849304,[0.0],active_non_ecz,0.0,0.0,0.0,0.9999999403953552,1.0,0.3535533845424652,0.3535533845424652,True,False,True,analytic_vector,active_non_ecz,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,AMD Radeon RX 7700 XT,4,0,True,False,False,,,,,,,
GEO-C0:GEO-06-three-channel-120-degree-ecz:rocm:c-0:m-none:l-none:s-none,MECH-C0,GEO-C0,GEO-06-three-channel-120-degree-ecz,rocm,gpu,torch.float32,,0,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,"[0.25, 0.25, 0.25]",0.75,0.0,0.1875,-0.09374999813735485,0.1874999962747097,0.999999980131785,0.0,"[-0.5, -0.5, -0.4999999701976776]",ECZ,0.0,,0.0,,,0.0,0.0,True,True,True,analytic_vector,ECZ,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,AMD Radeon RX 7700 XT,4,0,True,False,False,,,,,,,
GEO-C0:GEO-07-channel-refinement-invariance:rocm:c-0:m-none:l-none:s-none,MECH-C0,GEO-C0,GEO-07-channel-refinement-invariance,rocm,gpu,torch.float32,,0,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,,,,,,,,,,active_non_ecz,0.0,0.0,0.0,0.9999999403953552,1.0,0.55901700258255,0.55901700258255,True,False,True,analytic_vector,active_non_ecz,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,AMD Radeon RX 7700 XT,4,0,True,False,False,"{""activity_a"": 0.55901700258255, ""cancellation_d"": 0.0, ""channel_norms"": [0.55901700258255], ""chi"": 1.0, ""negative_interference_n"": 0.0, ""observed_class"": ""active_non_ecz"", ""pairwise_cosines"": [], ""pairwise_p"": 0.0, ""q_value"": 0.31250000917637877, ""resultant_r"": 0.55901700258255}","{""activity_a"": 0.55901700258255, ""cancellation_d"": 0.0, ""channel_norms"": [0.55901700258255], ""chi"": 1.0, ""negative_interference_n"": 0.0, ""observed_class"": ""active_non_ecz"", ""pairwise_cosines"": [], ""pairwise_p"": 0.0, ""q_value"": 0.31250000917637877, ""resultant_r"": 0.55901700258255}",self,2,,,
GEO-C0:GEO-08-zero-safe-comparison:rocm:c-0:m-none:l-none:s-none,MECH-C0,GEO-C0,GEO-08-zero-safe-comparison,rocm,gpu,torch.float32,,0,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,,,,,,,,,,zero_safe_control,0.0,,0.0,,,0.0,0.0,True,True,True,algebraic_zero,zero_safe_control,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,AMD Radeon RX 7700 XT,4,0,True,False,False,,,,,False,True,
GEO-C0:GEO-01-exact-ncz:rocm:c-1:m-none:l-none:s-none,MECH-C0,GEO-C0,GEO-01-exact-ncz,rocm,gpu,torch.float32,,1,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,"[0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,,,[null],NCZ,0.0,,0.0,,,0.0,0.0,True,True,True,analytic_vector,NCZ,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,AMD Radeon RX 7700 XT,4,0,True,False,False,,,,,,,
GEO-C0:GEO-02-two-channel-exact-ecz:rocm:c-1:m-none:l-none:s-none,MECH-C0,GEO-C0,GEO-02-two-channel-exact-ecz,rocm,gpu,torch.float32,,1,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,"[1.0, 1.0]",2.0,0.0,2.0,-1.0,2.0,1.0,0.0,[-1.0],ECZ,0.0,,0.0,,,0.0,0.0,True,True,True,analytic_vector,ECZ,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,AMD Radeon RX 7700 XT,4,0,True,False,False,,,,,,,
